status	area	files	summary	next_step
done	aimet_onnx_gpu_e2e	tests/test_gpu_quantsim.py;tests/test_onnx_quantsim_adapter.py;src/octopus/adapters/onnx_quantsim.py	Installed `aimet-onnx`, updated adapter/test compatibility for AIMET 2.28 (`qtype`/new import paths), made round-trip SQNR check deterministic, and re-ran full AIMET ONNX GPU suite successfully.	Keep AIMET compatibility shims until older versions are dropped.
done	full_gpu_regression	tests/test_gpu_pytorch.py;tests/test_gpu_ort.py;tests/test_gpu_quantsim.py	Full package GPU regression pass completed after latest sharding/runtime changes: PyTorch, ORT, and AIMET ONNX suites pass together (`31 passed`).	Keep using this 3-suite combo as top-level GPU smoke before future sharding changes.
done	unsupported_sharding_guardrails	src/octopus/core.py;tests/test_core_integration.py;README.md	Constructor now validates against capability matrix at `Octopus(...)` creation time. Currently PyTorch supports `pp` + `tp`; ORT/AIMET ONNX support `pp`; unsupported backend/strategy pairs fail fast.	Keep constructor validation, tests, and README capability table updated together whenever backend support changes.
done	aimet_gpu_test_gpu_reservation	tests/test_gpu_quantsim.py	AIMET ONNX GPU integration tests now request explicit fractional GPU resources for direct `SensitivityWorker` actors instead of relying on unreserved visibility.	Keep explicit GPU reservation in any future direct actor GPU tests.
done	ort_aimet_shared_model_sharding_policy	src/octopus/core.py;src/octopus/__init__.py;tests/test_core_integration.py;README.md	Added backend capability API (`get_backend_capabilities`) and bound constructor sharding validation to capability matrix. Matrix later expanded from replica-only to ONNX-family `pp` support.	Maintain capability matrix as single source of truth for backend sharding support.
done	ort_aimet_shared_model_sharding_design_stub	ort_aimet_shared_model_sharding_design.md	Created concrete design stub for true ORT/AIMET shared-model sharding: partition planner, staged runtime, AIMET integration, milestone/test plan, and risks/exit criteria.	Use this stub as implementation contract before coding ORT staged runtime.
done	ort_partition_planner_scaffold	src/octopus/sharding/onnx_partition.py;src/octopus/sharding/__init__.py;tests/test_onnx_partition.py	Started M1 ONNX partition stack: contiguous balanced node partitioning, stage IO boundary inference, ONNX stage subgraph materialization API, and unit tests for happy/error paths.	Next M1 step: integrate stage artifacts into runtime worker-group execution path (`pp`) for ORT.
done	ort_aimet_shared_model_sharding_runtime	src/octopus/core.py;src/octopus/worker.py;src/octopus/sharding/onnx_partition.py;src/octopus/adapters/onnx_rt.py;src/octopus/adapters/__init__.py;tests/test_gpu_ort.py;tests/test_gpu_quantsim.py;tests/test_worker_onnx_pipeline_proxy.py	Implemented ONNX-family shared-model `pp` runtime (ORT + AIMET ONNX): staged ONNX pipeline proxy in sharded worker groups, backend capabilities updated, ORT-aware VRAM profiling in Octopus init, adapter detection accepts ONNX path/bytes, and new GPU/unit tests validate simple loop wrapper flows.	Keep ONNX partition/materialization utilities stable; they are now core dependency for ONNX-family shared-model path.
done	ray_tmp_pressure	src/octopus/ray_runtime.py;src/octopus/core.py;tests/test_gpu_pytorch.py;tests/test_gpu_ort.py;tests/test_gpu_quantsim.py;tests/test_new_components.py;README.md	Added shared Ray temp-dir helper. Local Ray startup now picks short writable path with most free space, package startup uses helper, GPU fixtures use helper, and unit coverage added for env override / path-length / free-space selection.	No immediate code follow-up. If external scripts call bare `ray.init(...)`, switch them to same helper or set `OCTOPUS_RAY_TMPDIR`.
done	repo_cleanup_pass	src/octopus/capabilities.py;src/octopus/sharding/onnx_pipeline_runtime.py;src/octopus/core.py;src/octopus/worker.py;src/octopus/sharding/__init__.py	Completed structural cleanup pass: moved backend capability policy/validation out of `core.py` into dedicated module, moved ONNX pipeline runtime helpers out of `worker.py` into sharding runtime module, and reused these shared modules across orchestrator/worker paths.	Continue incremental refactors only when they reduce duplication or improve module boundaries without behavior drift.
done	docs_refresh_pass	README.md;program.md;future_reference.tsv	Refreshed docs for current support matrix and limitations (`pp/tp` by backend), and added canonical shared-model examples for PyTorch TP, ORT PP, and AIMET ONNX PP.	Keep docs synchronized with tests whenever capability matrix changes.
